HS,TS,TA,HA,TT,C
7244.167,1140,2041,3087,11.55152,41.24750
7244.833,1140,2128,3068,11.55875,41.24750
7243.500,1140,2077,3216,11.56954,41.24000
7243.500,1140,2027,3148,11.58034,41.23500
7243.500,1140,1954,3323,11.59455,41.24500
7242.500,1140,2065,3175,11.60875,41.23500
7242.500,1140,2010,3435,11.61954,41.25500
7241.833,1140,1909,3610,11.62678,41.24000
7241.500,1140,1684,4578,11.63758,41.23500
7241.833,1140,1507,5360,11.65178,41.22500
7241.333,1140,1395,5713,11.66600,41.22250
7240.333,1140,1308,5930,11.68022,41.21500
7240.333,1140,1210,6393,11.69443,41.21250
7240.333,1140,1079,6971,11.71551,41.20750
7240.167,1140,904,7358,11.73660,41.17750
7240.167,1140,752,7547,11.75769,41.17750
7240.167,1140,671,7787,11.77876,41.17000
7240.167,1140,633,8040,11.79985,41.17000
7239.500,1140,612,8229,11.82094,41.17250
7239.000,1140,594,8401,11.84205,41.15500
7238.333,1140,531,8570,11.88374,41.16250
7237.667,1140,504,8635,11.90484,41.14500
7235.667,1140,414,8765,11.96770,41.15000
7235.167,1140,393,8875,12.00939,41.15500
7233.167,1140,356,8949,12.05111,41.14000
7231.667,1140,333,9031,12.09285,41.15250
7230.000,1140,328,9124,12.13455,41.14250
7228.833,1140,289,9139,12.17626,41.12750
7226.500,1140,197,9133,12.21802,41.15000
7224.833,1140,213,9150,12.25975,41.14250
7223.667,1140,182,9138,12.30148,41.15000
7221.333,1120,177,9143,12.34321,41.14750
7219.000,1120,386,9161,12.38493,41.15750
7218.167,1120,752,7803,12.42664,41.19000
7217.833,1120,952,6637,12.44774,41.18000
7216.833,1120,1160,5992,12.46882,41.19750
7216.167,1120,1274,5583,12.48304,41.19250
7216.833,1120,1395,5176,12.49727,41.19250
7215.500,1120,1493,4768,12.51152,41.21000
7215.167,1120,1568,4510,12.51875,41.21000
7215.000,1120,1647,4256,12.52600,41.21250
7215.000,1120,1729,4186,12.53323,41.22750
7216.000,1100,1737,4113,12.54046,41.22750
7214.833,1100,1737,4140,12.54771,41.23000
7215.167,1100,1768,4138,12.55493,41.24750
7214.667,1100,1796,3997,12.56572,41.23000
7214.333,1100,1761,3938,12.57650,41.23500
7214.333,1100,1739,4113,12.58729,41.23000
7213.833,1100,1688,4301,12.59807,41.21750
7214.500,1100,1693,4219,12.60885,41.22750
7214.167,1100,1705,4352,12.61964,41.22500
7213.833,1100,1699,4315,12.62689,41.24000
7213.333,1100,1574,4402,12.63767,41.23500
7213.167,1100,1480,4584,12.64845,41.20750
7213.833,1100,1389,4689,12.65925,41.21000
7213.167,1100,1287,5486,12.67346,41.19500
7212.833,1100,1204,5681,12.68769,41.18750
7212.333,1100,1073,6136,12.70190,41.19500
7212.667,1100,874,6625,12.72299,41.16500
7212.333,1100,714,6918,12.74405,41.17500
7211.833,1100,648,7207,12.76516,41.16000
